City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Lincoln,US,2022-10-03 22:44:28,40.8,-96.667,82.17,27,54,5.01
165,Guarapuava,BR,2022-10-03 22:44:39,-25.3953,-51.4581,55.58,95,50,1.32
166,Rio Grande,BR,2022-10-03 22:46:48,-32.035,-52.0986,57.31,66,21,12.01
167,Belyy Yar,RU,2022-10-03 22:46:48,53.6039,91.3903,19.29,93,18,0.0
168,Dunedin,NZ,2022-10-03 22:46:49,-45.8742,170.5036,54.03,44,99,3.74
169,Tuktoyaktuk,CA,2022-10-03 22:46:49,69.4541,-133.0374,24.8,86,100,16.11
170,Kisii,KE,2022-10-03 22:46:49,-0.6817,34.7667,60.19,87,100,3.13
171,Tutoia,BR,2022-10-03 22:46:50,-2.7619,-42.2744,78.75,80,28,13.35
172,Liuhe,CN,2022-10-03 22:46:50,42.2401,125.7172,34.54,85,71,5.77
173,Suruc,TR,2022-10-03 22:46:51,36.9761,38.425,74.64,49,3,2.01
174,Esperance,AU,2022-10-03 22:46:51,-33.8667,121.9,57.04,86,98,12.03
175,Oistins,BB,2022-10-03 22:46:51,13.0667,-59.5333,82.49,78,20,12.66
176,Kargasok,RU,2022-10-03 22:46:52,59.0556,80.8572,30.09,81,81,9.69
177,Sylva,RU,2022-10-03 22:46:52,58.0348,56.7635,49.37,83,100,5.12
178,Kruisfontein,ZA,2022-10-03 22:46:53,-34.0033,24.7314,55.89,76,100,13.22
179,Aklavik,CA,2022-10-03 22:46:53,68.2191,-135.0107,30.4,85,83,7.74
180,Cape Town,ZA,2022-10-03 22:46:54,-33.9258,18.4232,57.09,76,20,5.75
181,Kumta,IN,2022-10-03 22:46:54,14.4167,74.4,76.77,91,100,6.33
182,Yen Bai,VN,2022-10-03 22:46:54,21.7,104.8667,72.9,96,50,2.37
183,Bosaso,SO,2022-10-03 22:46:55,11.2842,49.1816,85.48,52,2,3.42
184,Rantepao,ID,2022-10-03 22:46:55,-2.9701,119.8978,69.67,93,53,1.12
185,Port Hedland,AU,2022-10-03 22:46:55,-20.3167,118.5667,69.85,83,0,6.91
186,Znamenskoye,RU,2022-10-03 22:46:56,57.1281,73.8282,36.41,64,98,8.99
187,Yeppoon,AU,2022-10-03 22:47:56,-23.1333,150.7333,69.58,53,31,15.08
188,Susehri,TR,2022-10-03 22:47:56,40.1644,38.0867,56.1,91,31,1.77
189,Bilma,NE,2022-10-03 22:47:57,18.6853,12.9164,88.21,15,0,10.71
190,Acarau,BR,2022-10-03 22:47:57,-2.8856,-40.12,78.28,79,48,16.46
191,Salon,IN,2022-10-03 22:47:58,26.0333,81.45,77.7,78,40,6.49
192,Wanning,CN,2022-10-03 22:47:58,18.8003,110.3967,79.39,86,98,1.86
193,Cotonou,BJ,2022-10-03 22:47:58,6.3654,2.4183,78.78,89,40,11.5
194,Jurm,AF,2022-10-03 22:47:59,36.8648,70.8342,52.11,61,5,2.8
195,Bilibino,RU,2022-10-03 22:48:00,68.0546,166.4372,25.23,75,100,2.73
196,Guerrero Negro,MX,2022-10-03 22:45:52,27.9769,-114.0611,72.61,71,70,16.37
197,Eyl,SO,2022-10-03 22:48:00,7.9803,49.8164,75.79,82,32,14.9
198,Gorey,IE,2022-10-03 22:48:01,52.6747,-6.2925,61.57,90,94,16.87
199,Ako,JP,2022-10-03 22:48:01,34.75,134.4,78.37,76,60,2.62
200,Sheridan,US,2022-10-03 22:48:02,44.8333,-106.9173,57.02,83,100,16.11
201,Dingle,PH,2022-10-03 22:48:02,10.9995,122.6711,78.76,89,100,4.41
202,Souillac,MU,2022-10-03 22:48:02,-20.5167,57.5167,68.38,77,20,10.36
203,Eau Claire,US,2022-10-03 22:48:03,44.8114,-91.4985,66.58,62,0,5.75
204,Goundam,ML,2022-10-03 22:48:03,16.4145,-3.6708,95.67,23,8,7.96
205,Codrington,AU,2022-10-03 22:48:03,-38.2667,141.9667,54.19,78,97,14.03
206,Thompson,CA,2022-10-03 22:43:49,55.7435,-97.8558,57.36,38,20,4.61
207,Faanui,PF,2022-10-03 22:48:04,-16.4833,-151.75,78.73,74,3,15.32
208,Urumqi,CN,2022-10-03 22:48:04,43.801,87.6005,38.35,52,0,6.71
209,Jinka,ET,2022-10-03 22:48:05,5.65,36.65,64.72,74,99,3.69
210,Porto Velho,BR,2022-10-03 22:46:08,-8.7619,-63.9039,75.25,94,75,3.44
211,Maxixe,MZ,2022-10-03 22:48:05,-23.8597,35.3472,71.04,90,0,10.2
212,Zhigansk,RU,2022-10-03 22:48:06,66.7697,123.3711,24.12,94,97,9.48
213,Palora,EC,2022-10-03 22:48:06,-1.7,-77.9333,71.71,89,95,3.11
214,Laguna,US,2022-10-03 22:48:06,38.421,-121.4238,90.09,39,0,9.22
215,Blagoyevo,RU,2022-10-03 22:48:07,63.3667,47.9167,42.64,94,100,7.9
216,Luang Prabang,LA,2022-10-03 22:48:07,19.8856,102.1347,69.51,100,89,1.21
217,Barrow,US,2022-10-03 22:48:08,71.2906,-156.7887,24.82,93,100,19.57
218,Sao Jose Da Coroa Grande,BR,2022-10-03 22:45:54,-8.8978,-35.1478,74.43,77,6,8.3
219,Sao Felix Do Xingu,BR,2022-10-03 22:48:08,-6.6447,-51.995,85.05,36,80,3.36
220,Camopi,GF,2022-10-03 22:48:09,3.1655,-52.3158,76.51,79,87,2.82
221,Nishihara,JP,2022-10-03 22:48:09,26.1842,127.7558,80.65,80,40,5.75
222,Manacor,ES,2022-10-03 22:48:09,39.5696,3.2096,69.39,72,100,2.75
223,Saint-Pierre,RE,2022-10-03 22:48:10,-21.3393,55.4781,69.48,68,75,5.75
224,Saint Anthony,US,2022-10-03 22:45:06,45.0205,-93.218,76.12,43,0,12.66
225,Panjab,AF,2022-10-03 22:48:10,34.388,67.0233,38.68,25,0,2.44
226,Antofagasta,CL,2022-10-03 22:48:11,-23.65,-70.4,58.28,79,16,6.15
227,Inirida,CO,2022-10-03 22:43:50,3.8653,-67.9239,78.67,78,80,2.62
228,Morro Bay,US,2022-10-03 22:48:11,35.3658,-120.8499,92.93,59,14,8.01
229,Turukhansk,RU,2022-10-03 22:48:12,65.8167,87.9833,31.17,79,79,18.86
230,Nanortalik,GL,2022-10-03 22:49:12,60.1432,-45.2371,36.77,76,41,11.99
231,Ust-Maya,RU,2022-10-03 22:49:12,60.4167,134.5333,25.32,82,95,6.76
232,Pimentel,PE,2022-10-03 22:49:13,-6.8367,-79.9342,64.69,72,20,24.16
233,Okato,NZ,2022-10-03 22:49:13,-39.2,173.8833,55.69,56,4,5.5
234,Vao,NC,2022-10-03 22:49:13,-22.6667,167.4833,69.26,66,20,15.19
235,Kavaratti,IN,2022-10-03 22:49:14,10.5669,72.642,81.27,79,100,16.35
236,Mogadouro,PT,2022-10-03 22:49:14,41.3403,-6.7119,62.26,37,1,2.51
237,Ugoofaaru,MV,2022-10-03 22:49:15,5.6667,73.0,81.46,78,99,17.43
238,Oktyabrskoye,RU,2022-10-03 22:49:15,43.0645,44.7417,53.74,93,87,2.24
239,Umm Kaddadah,SD,2022-10-03 22:49:16,13.6017,26.6876,89.15,29,42,6.13
240,Mutis,CO,2022-10-03 22:49:16,6.2262,-77.4044,80.02,86,75,4.9
241,Cubuk,TR,2022-10-03 22:49:16,40.2386,33.0322,55.76,66,0,1.14
