City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Umm Lajj,SA,25.0213,37.2685,85.42,52,0,7.76,clear sky
147,Chokurdakh,RU,70.6333,147.9167,22.59,85,100,20.83,overcast clouds
148,Katherine,AU,-14.4667,132.2667,100.72,27,0,10.36,clear sky
149,Walvis Bay,NA,-22.9575,14.5053,49.15,93,100,3.44,fog
150,Nemuro,JP,43.3236,145.575,51.15,68,100,4.5,overcast clouds
151,Talcahuano,CL,-36.7167,-73.1167,53.28,100,100,0.0,overcast clouds
152,Yangambi,CD,0.8102,24.4336,68.68,98,100,1.61,light rain
153,Sobolevo,RU,54.4299,31.8996,44.65,96,10,10.94,clear sky
154,Solwezi,ZM,-12.1688,26.3894,58.33,39,84,5.95,broken clouds
155,Yar-Sale,RU,66.8333,70.8333,37.94,97,100,9.28,light rain
156,Mahajanga,MG,-15.7167,46.3167,75.22,50,0,11.5,clear sky
157,Pokhara,NP,28.2333,83.9833,78.39,65,91,2.42,overcast clouds
158,Dwarka,IN,22.2394,68.9678,82.42,71,100,9.66,overcast clouds
159,Qaqortoq,GL,60.7167,-46.0333,33.75,79,100,4.65,overcast clouds
160,Egvekinot,RU,66.3167,-179.1667,21.94,86,100,15.43,overcast clouds
161,Pinheiro,BR,-2.5214,-45.0825,71.85,95,8,2.55,clear sky
162,Kununurra,AU,-15.7667,128.7333,100.38,32,93,8.05,overcast clouds
163,Cobija,BO,-11.0267,-68.7692,73.27,85,53,1.03,broken clouds
164,Bull Savanna,JM,17.8868,-77.5902,76.96,84,91,4.61,overcast clouds
165,Evensk,RU,61.95,159.2333,29.75,57,100,6.82,overcast clouds
166,Nikolskoye,RU,59.7035,30.7861,51.8,73,95,13.27,overcast clouds
167,Tigbao,PH,12.5546,123.3389,83.82,74,99,5.73,overcast clouds
168,Najran,SA,17.4924,44.1277,74.05,24,87,2.42,overcast clouds
169,Port Blair,IN,11.6667,92.75,82.44,83,75,5.75,broken clouds
170,Bud,US,39.447,-86.1758,62.58,77,1,7.74,clear sky
171,Puerto Madero,MX,14.7208,-92.4215,75.4,100,40,0.0,scattered clouds
172,Muscat,OM,23.6139,58.5922,86.02,53,0,6.44,clear sky
173,Reconquista,AR,-29.15,-59.65,54.0,83,22,7.11,few clouds
174,Clyde River,CA,70.4692,-68.5914,21.43,86,100,9.22,overcast clouds
175,Taoudenni,ML,22.6783,-3.9836,92.98,20,74,4.54,broken clouds
176,Dingle,PH,10.9995,122.6711,87.42,69,55,7.87,broken clouds
177,Port-Gentil,GA,-0.7193,8.7815,77.67,83,100,12.53,overcast clouds
178,Bandarbeyla,SO,9.4942,50.8122,80.58,70,39,18.34,scattered clouds
179,Kiama,AU,-34.6833,150.8667,69.39,83,100,1.99,light rain
180,Flinders,AU,-34.5833,150.8552,69.19,84,100,5.99,light rain
181,Atambua,ID,-9.1061,124.8925,87.22,51,16,2.1,few clouds
182,Portland,US,45.5234,-122.6762,69.24,79,20,1.01,few clouds
183,Christchurch,NZ,-43.5333,172.6333,56.32,54,10,6.91,clear sky
184,Byron Bay,AU,-28.65,153.6167,71.94,66,73,12.84,broken clouds
185,Vestmanna,FO,62.1564,-7.1664,41.92,81,100,11.5,light rain
186,Nkhotakota,MW,-12.9274,34.2961,71.33,52,0,1.7,clear sky
187,Carutapera,BR,-1.195,-46.02,77.56,81,23,7.72,few clouds
188,Ribeira Grande,PT,38.5167,-28.7,71.38,84,88,13.47,overcast clouds
189,Kloulklubed,PW,7.0419,134.2556,88.3,69,72,6.15,broken clouds
190,Umm Kaddadah,SD,13.6017,26.6876,82.47,52,80,6.69,broken clouds
191,Provideniya,RU,64.3833,-173.3,41.36,87,100,25.01,overcast clouds
192,Haines Junction,CA,60.7522,-137.5108,39.15,60,89,1.14,overcast clouds
193,Kaminskiy,RU,57.1516,41.4732,48.61,87,79,13.6,broken clouds
194,Avarua,CK,-21.2078,-159.775,77.05,65,20,10.36,few clouds
195,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,100,75,10.69,light intensity shower rain
196,Porirua,NZ,-41.1333,174.85,55.54,67,10,11.9,clear sky
197,Dunn,US,44.95,-91.8835,43.36,96,75,6.91,broken clouds
198,Maniitsoq,GL,65.4167,-52.9,30.99,91,100,3.83,overcast clouds
199,Ratnagiri,IN,16.9833,73.3,76.51,88,100,3.42,moderate rain
200,Adrar,MR,20.5022,-10.0711,83.8,24,3,3.0,clear sky
201,Heihe,CN,50.2441,127.4902,50.58,29,19,5.35,few clouds
202,Jhargram,IN,22.45,86.9833,84.36,75,36,2.24,scattered clouds
203,Korla,CN,41.7597,86.1469,62.08,30,62,2.04,broken clouds
204,Cidreira,BR,-30.1811,-50.2056,63.68,96,100,7.7,moderate rain
205,Alofi,NU,-19.0595,-169.9187,76.89,78,81,12.66,broken clouds
206,Tibu,CO,8.639,-72.7358,72.55,98,100,1.66,overcast clouds
207,Jingdezhen,CN,29.2947,117.2079,57.36,95,100,3.58,overcast clouds
208,Eyl,SO,7.9803,49.8164,79.21,71,52,14.45,broken clouds
209,Lompoc,US,34.6391,-120.4579,59.52,96,100,1.01,fog
210,Naze,JP,28.3667,129.4833,76.12,74,100,14.47,overcast clouds
211,Ponta Do Sol,PT,32.6667,-17.1,72.23,62,46,5.59,scattered clouds
212,San Patricio,US,28.017,-97.5169,82.26,66,100,7.58,overcast clouds
213,South Lyon,US,42.4606,-83.6516,54.52,85,92,1.99,overcast clouds
214,Biak,ID,-0.9131,122.8766,84.18,67,96,4.59,overcast clouds
215,Fortuna,US,40.5982,-124.1573,56.35,87,95,3.69,overcast clouds
216,Socorro,US,31.6546,-106.3033,67.21,68,75,6.91,broken clouds
217,Arlit,NE,18.7369,7.3853,85.14,23,74,13.38,broken clouds
218,Bilibino,RU,68.0546,166.4372,21.56,91,100,10.98,overcast clouds
219,Horsham,GB,51.064,-0.3272,58.44,92,75,5.75,broken clouds
220,Yagoua,CM,10.3411,15.2329,72.72,88,100,11.48,overcast clouds
221,Poum,NC,-20.2333,164.0167,75.99,71,1,10.83,clear sky
222,Poronaysk,RU,49.2167,143.1167,48.49,38,74,14.07,broken clouds
223,Purificacion,CO,3.8587,-74.9313,74.12,85,68,2.19,broken clouds
224,Lahaina,US,20.8783,-156.6825,80.6,90,66,8.61,broken clouds
225,Banikoara,BJ,11.2985,2.4386,72.37,91,93,3.09,overcast clouds
226,Rosarito,MX,32.3333,-117.0333,66.47,83,37,4.7,scattered clouds
227,Hilo,US,19.7297,-155.09,81.28,78,100,5.75,overcast clouds
228,Port Moresby,PG,-9.4431,147.1797,89.02,62,40,17.27,haze
229,Pingdu,CN,36.7844,119.9464,61.83,52,0,3.49,clear sky
230,College,US,64.8569,-147.8028,52.9,70,75,0.0,broken clouds
231,Laibin,CN,23.7,109.2667,75.15,55,59,13.11,broken clouds
232,Puerto Escondido,MX,15.85,-97.0667,79.21,82,10,4.09,clear sky
233,Olafsvik,IS,64.8945,-23.7142,41.56,73,100,17.07,overcast clouds
234,Brae,GB,60.3964,-1.353,51.22,82,94,24.7,overcast clouds
235,Mossendjo,CG,-2.9506,12.7261,69.17,99,100,0.74,moderate rain
236,Narsaq,GL,60.9167,-46.05,34.02,74,100,6.4,overcast clouds
237,Cherskiy,RU,68.75,161.3,22.6,92,99,14.25,overcast clouds
238,Dikson,RU,73.5069,80.5464,33.33,98,100,20.67,light snow
239,Isangel,VU,-19.55,169.2667,80.71,83,75,4.61,broken clouds
240,Thaba-Tseka,LS,-29.522,28.6084,56.12,51,60,5.91,broken clouds
241,Ostrovnoy,RU,68.0531,39.5131,40.87,92,74,13.98,broken clouds
242,Zyryanka,RU,65.75,150.85,25.34,81,100,11.95,overcast clouds
243,Burnie,AU,-41.0667,145.9167,57.94,80,94,12.68,overcast clouds
244,Daru,PG,-9.0763,143.2092,80.4,88,99,14.58,overcast clouds
245,Jam Sahib,PK,26.2958,68.6292,93.47,23,0,8.68,clear sky
246,Maralal,KE,1.0968,36.698,57.78,81,30,4.56,scattered clouds
247,Hobyo,SO,5.3505,48.5268,78.01,82,79,17.54,broken clouds
248,Cockburn Town,TC,21.4612,-71.1419,83.03,73,76,14.72,broken clouds
249,Speedway,US,39.8023,-86.2672,62.8,80,40,13.8,scattered clouds
250,Sturgeon Falls,CA,46.3646,-79.9326,48.06,95,100,14.18,light rain
251,Barrhead,GB,55.7992,-4.3929,54.93,87,100,6.91,overcast clouds
252,Santiago Del Estero,AR,-27.7951,-64.2615,63.19,54,3,5.5,clear sky
253,Katsuura,JP,35.1333,140.3,59.02,95,100,18.68,light rain
254,Boyuibe,BO,-20.4167,-63.2833,64.67,38,73,4.74,broken clouds
255,Komsomolskiy,UZ,40.4272,71.7189,65.12,29,99,4.61,overcast clouds
256,Eydhafushi,MV,5.1033,73.0708,82.02,74,97,16.96,overcast clouds
257,Port Hawkesbury,CA,45.6169,-61.3485,57.18,99,100,7.0,mist
258,Kautokeino,NO,69.0125,23.0412,37.38,90,99,16.91,overcast clouds
259,Rosetta,EG,31.4044,30.4164,72.23,56,0,13.02,clear sky
260,Aki,JP,33.5,133.9,69.75,84,100,4.41,light rain
261,Mehamn,NO,71.0357,27.8492,44.55,81,75,29.93,light rain
262,Rudbar,AF,30.15,62.6,65.98,12,0,6.06,clear sky
263,Cacoal,BR,-11.4386,-61.4472,78.57,73,100,3.96,overcast clouds
264,Caohai,CN,26.8661,104.2841,47.21,95,100,3.6,overcast clouds
265,Coolum Beach,AU,-26.5333,153.1,74.1,69,58,8.32,broken clouds
266,Nanortalik,GL,60.1432,-45.2371,36.25,82,100,3.0,overcast clouds
267,Vila Velha,BR,-20.3297,-40.2925,75.15,88,40,8.05,scattered clouds
268,Yeniseysk,RU,58.4497,92.1703,34.74,83,91,4.09,overcast clouds
269,Sibut,CF,5.718,19.0739,67.73,98,100,2.1,moderate rain
270,Muzhi,RU,65.3667,64.6667,40.15,95,100,3.87,overcast clouds
271,Hay River,CA,60.8156,-115.7999,42.76,87,20,3.44,few clouds
272,Yulara,AU,-25.2406,130.9889,77.38,32,9,9.69,clear sky
273,Vysha,RU,53.8477,42.3777,48.72,96,62,7.76,broken clouds
274,Gorontalo,ID,0.5412,123.0595,86.04,73,97,4.25,overcast clouds
275,Antsohihy,MG,-14.8796,47.9875,74.95,46,1,10.56,clear sky
276,Cuenca,EC,-2.8833,-78.9833,55.53,94,99,3.44,overcast clouds
277,Palmer,US,42.1584,-72.3287,59.18,84,0,0.0,clear sky
278,San Benito,US,36.6166,-121.0844,60.85,52,61,2.73,broken clouds
279,Verkhoyansk,RU,67.5447,133.385,22.57,74,37,7.83,scattered clouds
280,Torbay,CA,47.6666,-52.7314,53.76,97,100,4.61,fog
281,Lebu,CL,-37.6167,-73.65,53.08,97,100,9.24,overcast clouds
282,Novobirilyussy,RU,56.9514,90.6661,36.16,77,79,4.47,broken clouds
